Data,Valoare
4th Feb 2019 07:37:11,+ 0.99998959
4th Feb 2019 04:35:07,+ 0.99998959
3rd Feb 2019 23:11:17,+ 0.99998959
3rd Feb 2019 23:09:19,+ 0.99998959
3rd Feb 2019 22:56:58,+ 0.99998959
3rd Feb 2019 20:52:30,+ 0.99998960
3rd Feb 2019 18:58:14,+ 0.99998960
3rd Feb 2019 18:29:37,+ 0.99998960
3rd Feb 2019 18:19:06,+ 0.99998960
3rd Feb 2019 16:10:36,+ 0.99998960
3rd Feb 2019 10:08:54,+ 0.99998960
3rd Feb 2019 10:03:54,+ 0.99998960
3rd Feb 2019 07:16:42,+ 0.99998960
3rd Feb 2019 06:16:34,+ 0.97198960
3rd Feb 2019 05:13:50,+ 0.97198960
3rd Feb 2019 05:12:47,+ 0.97198960
3rd Feb 2019 04:49:05,+ 0.97198960
3rd Feb 2019 03:28:24,+ 0.97198960
3rd Feb 2019 02:47:38,+ 0.97198960
3rd Feb 2019 01:59:38,+ 0.97198960
3rd Feb 2019 01:08:33,+ 0.97198960
2nd Feb 2019 20:31:43,+ 0.97198520
2nd Feb 2019 18:11:04,+ 0.97198960
2nd Feb 2019 17:33:48,+ 0.97198960
2nd Feb 2019 17:20:38,+ 0.97198520
2nd Feb 2019 16:46:50,+ 0.97198520
2nd Feb 2019 12:52:35,+ 0.97198960
2nd Feb 2019 12:51:47,+ 0.97198960
2nd Feb 2019 10:29:48,+ 0.97198520
2nd Feb 2019 06:05:13,+ 0.97198960
2nd Feb 2019 00:26:20,+ 0.97198520
1st Feb 2019 23:52:19,+ 0.97198520
1st Feb 2019 23:50:30,+ 0.97198960
1st Feb 2019 21:52:27,+ 0.97198520
1st Feb 2019 21:20:25,+ 0.97198959
1st Feb 2019 19:55:16,+ 0.97198959
1st Feb 2019 17:44:25,+ 0.97198959
1st Feb 2019 15:12:51,+ 0.97198959
1st Feb 2019 14:58:20,+ 0.97198959
1st Feb 2019 12:33:23,+ 0.97198959
1st Feb 2019 10:57:02,+ 0.97198959
1st Feb 2019 09:59:05,+ 0.97198959
1st Feb 2019 08:37:45,+ 0.97198959
1st Feb 2019 07:46:07,+ 0.97198959
1st Feb 2019 06:57:11,+ 0.97198959
1st Feb 2019 06:37:17,+ 0.97198959
1st Feb 2019 04:45:56,+ 0.97198959
1st Feb 2019 04:39:47,+ 0.97198959
1st Feb 2019 04:34:35,+ 0.97198959
1st Feb 2019 02:50:49,+ 0.97198959
1st Feb 2019 02:05:46,+ 0.97198959
1st Feb 2019 01:10:10,+ 0.97198959
1st Feb 2019 00:23:12,+ 0.97198959
31st Jan 2019 23:22:50,+ 0.97198959
31st Jan 2019 22:19:03,+ 0.97198959
31st Jan 2019 20:13:43,+ 0.97198959
31st Jan 2019 19:51:52,+ 0.97198959
31st Jan 2019 19:15:07,+ 0.97198959
31st Jan 2019 17:41:37,+ 0.97198959
31st Jan 2019 16:12:27,+ 0.97198959
31st Jan 2019 13:48:37,+ 0.97198959
31st Jan 2019 12:31:26,+ 0.97198959
31st Jan 2019 11:45:34,+ 0.97198959
31st Jan 2019 08:12:02,+ 0.97198959
31st Jan 2019 06:46:35,+ 0.97198959
31st Jan 2019 03:07:31,+ 0.97198959
31st Jan 2019 00:55:57,+ 0.97198959
30th Jan 2019 23:37:55,+ 0.97198959
30th Jan 2019 20:47:11,+ 0.97198959
30th Jan 2019 20:38:40,+ 0.97198959
30th Jan 2019 20:30:47,+ 0.97198959
30th Jan 2019 17:08:24,+ 0.97198959
30th Jan 2019 15:50:00,+ 0.97198959
30th Jan 2019 13:24:12,+ 0.97198958
30th Jan 2019 10:25:05,+ 0.97198958
30th Jan 2019 08:53:00,+ 0.97198958
30th Jan 2019 01:54:09,+ 0.97198958
29th Jan 2019 22:03:13,+ 0.97198958
29th Jan 2019 20:30:36,+ 0.97198958
29th Jan 2019 19:55:58,+ 0.97198958
29th Jan 2019 19:31:39,+ 0.97198958
29th Jan 2019 17:53:11,+ 0.97198958
29th Jan 2019 16:54:15,+ 0.97198958
29th Jan 2019 16:50:00,+ 0.97198958
29th Jan 2019 15:38:58,+ 0.97198958
29th Jan 2019 13:30:33,+ 0.97198958
29th Jan 2019 12:37:12,+ 0.97198958
29th Jan 2019 09:57:27,+ 0.97198958
29th Jan 2019 09:52:34,+ 0.97198958
29th Jan 2019 09:30:41,+ 0.97198958
29th Jan 2019 07:00:59,+ 0.94298958
29th Jan 2019 05:50:51,+ 0.94298958
28th Jan 2019 22:22:15,+ 0.94298958
28th Jan 2019 22:19:14,+ 0.94298958
28th Jan 2019 19:07:19,+ 0.94298960
28th Jan 2019 15:54:19,+ 0.94298960
28th Jan 2019 14:52:19,+ 0.94298960
28th Jan 2019 14:00:13,+ 0.94298960
28th Jan 2019 11:45:46,+ 0.94298960
28th Jan 2019 11:45:48,+ 0.94298960
